index,user,samples,penalty,decay,espsilon,nu,sigma,3_low_bound,3_up_bound,E,Var,mu_first
1,s002,0-50,null,0.9,-1,-1.222919111,0.012352598,0.283660578,0.305482948,0.294392073,0.03188776,0.919603595
2,s002,50-100,null,0.9,-1,-1.274352835,0.025126199,0.259309893,0.301503324,0.279700142,0.028798182,1.084311977
3,s002,100-150,null,0.9,-1,-1.26528907,0.024235781,0.262370825,0.30343686,0.282240599,0.029322405,1.168697442
4,s002,150-200,null,0.9,-1,-1.254204549,0.026939042,0.263152471,0.309317376,0.285406245,0.029988009,1.260168677
5,s002,200-250,null,0.9,-1,-1.345367588,0.10215266,0.191699628,0.353840296,0.261806393,0.025479913,1.30018264
6,s002,250-300,null,0.9,-1,-1.352301497,0.052750489,0.25900441,0.302991651,0.25900441,0.024747328,1.384055017
7,s002,300-350,null,0.9,-1,-1.2520156,0.039636283,0.253872159,0.32203123,0.286152589,0.030170546,1.269645121
8,s002,350-400,null,0.9,-1,-1.12994552,0.012787899,0.310892148,0.335685079,0.323077271,0.03840514,1.127781911
9,s002,0-200,null,0.9,-3,-1.593627745,0.078397562,0.160602898,0.257062751,0.203812534,0.015375758,0.780080185
10,s002,100-150,null,0.9,-3,-1.584236866,0.043838676,0.179828278,0.233932927,0.205301438,0.015535461,0.841757722
11,s052,18000-18200,null,0.9,-3,-1.426747151,0.058536165,0.201421481,0.286178752,0.240500308,0.021351328,0.712616206
12,s002,0-50,null,0.7,-1,-1.149938653,0.013441457,0.304141257,0.329686103,0.316684802,0.036901025,0.932808642
13,s002,50-100,null,0.7,-1,-1.189829345,0.026220636,0.281255645,0.329174447,0.304377801,0.034105942,1.088360509
14,s002,100-150,null,0.7,-1,-1.177847729,0.023466416,0.287007487,0.330400911,0.308025597,0.034923542,1.157519466
15,s002,150-200,null,0.7,-1,-1.154936034,0.025326778,0.292024853,0.339950351,0.315178759,0.036567728,1.265737787
16,s002,200-250,null,0.7,-1,-1.241686547,0.093521606,0.218220041,0.382463624,0.290162722,0.031245481,1.299959976
